,product,title,rating,body
503,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awsome,5,Nice super video quality Awsome camera
504,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good Phone For Price Paid,4,OnePlus brand always standout with there quality. One of the best phone under 30k. Battery life could have been better. Camera is good. Very sturdy build.
505,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Hello,5,The media could not be loaded.
506,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Touch not as smooth as other varients,4,I found its touch not as smooth as what One Plus is known for but overall a great phone.
507,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone,4,Poor battery backup
508,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",OnePlus nord 2t,4,Phone is goodBut battery life is worst
509,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good mobile,4,
510,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Heating problem will fasing,3,2t will much heat and also discharged very fasterCamera quality was Good not very goodFull charge in 50 min
511,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Amazing battery performances,4,"Camera is amazing ,superPerformance is too excellentBattery backup too good ☺️Portrait mode too goodPro mode night mode excellent"
512,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Not worth the money,2,It is not like a premium phone. I purchased 12/256 variant but it performs like 6/64 with old processor. I m completely dissatisfied.
513,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good build quality,4,"Little costly, can get better specification if go for other brand in this priceCamera is good, mobile is slim and like the mobile cover which cut to cut and very precise"
514,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good Phone with 80 W battery,5,Gud one
515,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's good and recommended...,4,Value for Money ...
516,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good phone,5,"Premium looks, latest Android OS. Good camera and many options are available. Easy Multitasking, no hanging problem. Battery is ok ok as it goes 1full day on an avg. Audio quality is good. Fast changing makes life easier. One of the best phone in 30 k range. Go for it if you are looking for long term."
517,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Shi h,5,Shi h
518,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Faster the charging...Faster the discharge,4,Battery gets drained very soon both on wifi and mobile network usage.I am not even using games while writing this review...battery life would have been better.
